ስም
Abdeel
Abel
Abida
Abidan
Abiel
Abiezer
Abigail
Abihail
Abijah
Abiram
Abishag
Abishai
Abishua
Abital
Abner
Abraham
Abram
Absalom
Adah
Adalia
Adam
Addi
Adiel
Adin
Adina
Adnah
Adoni-bezek
Adonijah
Adriel
Aeneas
Ahab
Ahlai
Akim
Alemeth
Alexander
Almodad
Alvan
Amariah
Amasiah
Amaziah
Ammiel
Amos
Amoz
Amraphel
Amzi
Anah
Ananiah
Ananias
Andrew
Andronicus
Anna
Apollos
Apphia
Aquila
Ardon
Areli
Ariel
Armoni
Artemas
Artemis
Asa
Asaph
Asarel
Asarelah
Ascah
Asenath
Ashbea
Asher
Ashtoreth
Ashtoreth
Asiel
Asriel
Atarah
Athaliah
Augustus
Azaliah
Azaniah
Azarael
Azareel
Azaria
Azaziah
Azel
Aziel
Azriel
Azzan
Abate
Abay
Abayneh
Abdela
Abdi
Abdu
Abdul
Abdulahi
Abebe
Abegaz
Abel
Abenet
Abenezer
Abera
Abiy
Abubeker
Adane
Addisu
Admasu
Adugna
Afework
Ahmed
Akalu
Aklilu
Alazar
Alebachew
Alemayehu
Alemu
Alex
Alex
Alula
Aman
Amanuel
Amare
Amha
Amin
Andargachew
Andinet
Andualem
Anteneh
Argaw
Aron
Aschalew
Asefa
Asfaw
Asheber
Ashenafi
Asmamaw
Asrat
Assefa
Atinafu
Atlabachew
Ayele
Abaynesh
Abeba
Abebawork
Abebaye
Abebech
Abenet
Aberash
Abezu
Abigail
Abigia
Abiot
Adanech
Addis
Adey
Aida
Aklil
Aksum
Alem
Alemitu
Alemnesh
Alemtsehay
Algansh
Almaz
Amarech
Amelework
Amsale
Amsalework
Amsalu
Arssema
Asegedech
Asnakech
Aster
Atsede
Ayana
Ayelech
Aynalem
Azalech
Azeb
Barakel
Bariah
Barnabas
Bartholomew
Bartimaeus
Barush
Basemath
Bathsheba
Bebai
Bedeiah
Bathshua
Beker
Ben
Benaiah
Benjamin
Bera
Beraiah
Berekiah
Beri
Bernice
Bethuel
Bezai
Bilhah
Bilshan
Binea
Bithiah
Boaz
Bohan
Bukkiah
Bahiru
Befekadu
Behailu
Bekele
Bekila
Belachew
Belay
Belayneh
Belete
Bemnet
Bereket
Berhanu
Berhe
Besufekad
Beteab
Beyene
Binyam
Biruk
Bisrat
Bekelech
Belaynesh
Beletshachew
Beletu
Bemnet
Betel
Betelhem
Betsega
Beza
Bezawit
Biftu
Bilen
Birtukan
Bizunesh
Bruktawit
Caesar
Cain
Caleb
Canaan
Candace
Carmi
Carshena
Cephas
Chloe
Claudia
Claudius
Clement
Cleopas
Conaniah
Cornelius
Cosam
Cush
Cushi
Cyrenius
Cyrus
Chaltu
Caleb
Chanyalew
Chebude
Cherenet
Dalphon
Dan
Daniel
Dara
Darius
Dathan
David
Deborah
Dedan
Delilah
Demetrius
Dibri
Dinah
Dorcas
Drusilla
Dumah
Dagim
Dagmawi
Dagnachew
Daniel
Dawit
Debebe
Dejen
Demeke
Demerew
Demissie
Dereje
Desalegn
Desta
Dibaba
Dilnesaw
Dagmawit
Deborah
Debritu
Derartu
Desta
Dinknesh
Ebenezer
Eber
Eden
Ela
Elah
Elam
Elasah
Elberith
Eldaah
Eldad
Elead
Eleadah
Eleazar
Elhanan
Eli
Eliab
Eliada
Eliam
Elidad
Eliel
Eliezer
Elijah
Eliphaz
Elisha
Elishama
Elisheba
Elizabeth
Elizur
Elkanah
Elnathan
Elon
Enoch
Enosh
Ephraim
Ephron
Eran
Eri
Esau
Eshban
Eshton
Esli
Esther
Ethan
Eunice
Euodia
Eve
Evi
Ezbai
Ezekiel
Ezra
Ezrah
Ezri
Efrem
Elias
Endale
Endalkachew
Endrias
Ermias
Eshete
Eshetu
Eskinder
Estifanos
Eyasu
Eyobel
Ezana
Eden
Edom
Ejigayehu
Elfnesh
Elizabeth
Elsabeth
Elshaday
Eman
Emebet
Eskedar
Etenesh
Etsegenet
Eyerus
Eyerusalem
Felix
Festus
Fasil
Fedlu
Fegegta
Fekre-Mariam
Fekre-Selasie
Fikadu
Fikremariam
Fikru
Fiseha
Fistum
Frezer
Fasika
Feker
Fekerte
Feven
Freyhiwot
Gabriel
Gaddiel
Gaius
Gamaliel
Gedaliah
Gehazi
Gemalli
Gemariah
Gershom
Gershon
Geshem
Gideon
Gideoni
Goliath
Gomer
Gelila
Genet
Gashaw
Gebre-Egziabher
Gebre-Giorgis
Gebre-Mariam
Gebre-Meskel
Gebre-Micheal
Gebre-Selassie
Gedion
Gemechu
Getachew
Getahun
Getnet
Gezahegn
Girma
Girmachew
Girum
Gizachew
Gosaye
Hadad
Hadoram
Hagar
Haggi
Haggiah
Ham
Haman
Hamutal
Hanameel
Hanan
Hananiah
Haniel
Hannah
Hanoch
Hanun
Haran
Havilah
Hazaiah
Haziel
Helah
Heldai
Helez
Helkai
Helon
Henadad
Heresh
Hermes
Herod
Herodias
Heth
Hezekiah
Hezion
Hezrai
Hezron
Hilkiah
Hirah
Hiram
Hizki
Hizkiah
Hodaviah
Hodesh
Hodiah
Hodijah
Hoglah
Hosah
Hosea
Hoshama
Hothan
Hur
Hushai
Hushim
Habtamu
Habte
Hagos
Haile
Haile-Mariam
Haile-Selassie
Hailu
Hassen
Henok
Hiruy
Husein
Haimanot
Hamelmal
Hamere
Hanan
Hanna
Hareg
Hayat
Helen
Helina
Hermela
Hewan
Hirut
Hiwot
Ibri
Ibzan
Imlah
Immanuel
Imna
Imri
Ira
Irad
Iram
Irijah
Isaac
Isaiah
Iscah
Ishbah
Ishbak
Ishbi-Benob
Ishi
Ishiah
Ishijah
Ishmael
Ishmaiah
Ishmerai
Ishod
Ishpah
Ishpan
Ishvah
Ishvi
Ismakiah
Ithai
Ithamar
Ithiel
Ithmah
Ithran
Ithream
Izhar
Izrahiah
Inku
Ibrahim
Isayas
Israel
Issak
Jaalah
Jaasu
Jaazaniah
Jaaziah
Jabal
Jabesh
Jabez
Jabin
Jacob
Jada
Jadon
Jael
Jahath
Jahaziah
Jahaziel
Jahdai
Jahdiel
Jahleel
Jahmai
Jahziel
Jair
Jakim
Jakin
Jalam
Jalon
James
Janna
Japheth
Japhia
Jarah
Jared
Jaresiah
Jarha
Jarib
Jaroah
Jashen
Jasiel
Jason
Jathniel
Javan
Jaziz
Jecoliah
Jeconiah
Jedaiah
Jedidah
jedidiah
Jehiel
Jehieli
Jehoaddin
Jehoshaphat
Jehosheba
Jehovah
Jeiel
Jekamiah
Jemima
Jemuel
Jerah
Jerahmeel
Jered
Jeremiah
Jeriah
Jeribai
Jeriel
Jerioth
Jerusha
Jeshaiah
Jeshua
Jesiah
Jesimiel
Jesse
Jesus
Jether
Jethro
Jezebel
Jeziah
Jeziel
Jezreel
Joab
Joah
Joanna
Joash
Jobe
Joda
Joed
Joel
Joelah
Johanan
John
Joiada
Jonah
Jonam
Jonas
Jonathan
Jorai
Joram
Jorim
Jose
Joseph
Joshah
Joshaviah
Joshibiah
Joshua
Josiah
Josiphiah
Jotham
Jozacar
Jubal
Judah
Judas
Judith
Julia
Julius
Jupiter
Justus
Jemal
Kadmiel
Kallai
Kareah
Kedar
Kedemah
Keilah
Kelita
Kemuel
Kenan
Kenani
Kenaniah
Kenaz
Keran
Keren
Keros
Keturah
Keziah
Kish
Kishi
Kislon
Kolaiah
Korah
Kore
Koz
Kagnew
Kassahun
Kassaye
Kebede
Kebron
Kefyalew
Ketema
Kidus
Kifle
Kiros
Kirubel
Khalid
Kalkidan
Kelemua
Kidist
Kokebe
Konjit
Laban
Lael
Lahmi
Laish
Lamech
Lazarus
Leah
Lemuel
Levi
Likhi
Linus
Lois
Lot
Lotan
Lucius
Luke
Lydia
Lysias
Lake
Legesse
Lemma
Leul
Liku
Lidet
Lidiya
Lielt
Liya
Liyu
Maasai
Maaziah
Mahalia
Mahalath
Mahli
Mahlon
Maki
Malachi
Malcam
Malchiah
Malchus
Malkishua
Malkiel
Manoah
Mara
Mareshah
Mark
Marsena
Martha
Mary
Mattaniah
Mattathias
Matthew
Matthias
Melatiah
Melchiah
Melech
Melki
Merab
Meraiah
Meres
Mesha
Meshullam
Methuselah
Mica
Micah
Micaiah
Michael
Michal
Mijamin
Milcah
Miriam
Mishael
Misham
Mizpah
Mizraim
Mordecai
Moriah
Moses
Moza
Mamo
Mamush
Markos
Matheos
Mebratu
Medhin
Mehari
Mekbib
Mekonnen
Mekuriya
Melaku
Menelik
Mengistu
Mersha
Mesay
Mesfin
Metaferia
Mezgebe
Michael
Mikias
Million
Mintesnot
Mitiku
Moges
Mohammed
Molalign
Molla
Mulugeta
Muluken
Mussie
Mahder
Mahlet
Makeda
Maraki
Maramawit
Martha
Meaza
Meheret
Mekdes
Melat
Menbere
Menna
Mentewab
Meron
Meselu
Meskerem
Messeret
Mestewat
Metasebiya
Mignote
Mimi
Misgana
Misrak
Mulu
Muluemebet
Muna
Naama
Naarah
Nabal
Nahamani
Nahash
Nahbi
Nahshon
Nahum
Naomi
Naphtali
Narcissus
Nathan
Nathaniel
Neariah
Nebai
Nebo
Neco
Nedabiah
Nehemiah
Nehusuhta
Nekoda
Nemual
Neri
Neariah
Nethaniah
Neziah
Nicodemus
Nicolas
Nimrod
Nimshi
Noadiah
Noah
Nahom
Nathnael
Nebil
Nebiyou
Nebyat
Nega
Negash
Niguse
Nolawi
Naomi
Nardos
Negassi
Netsanet
Nigist
Nunu
Obadiah
Obal
Oholah
Oholibah
Olympas
Omar
Omri
Oprah
Oren
Orpah
Othniel
Ozem
Ozni
Paltiel
Paseah
Paul
Pedaiah
Pekah
Pelatiah
Peleth
Peninnah
Penuel
Perez
Persis
Peter
Pethuel
Phanuel
Philemon
Philip
Phineas
Phoebe
Pilate
Priscilla
Paulos
Petros
Quartus
Raamah
Raamiah
Rachel
Ramiah
Rapha
Rebekah
Rei
Remaliah
Rephael
Rephan
Resheph
Reuben
Reuel
Reumah
Rezia
Rezin
Rezon
Rhesa
Rhoda
Ribai
Rimmon
Rinnah
Rizpah
Rosh
Rufus
Ruth
Redwan
Rebka
Rediet
Rekik
Roman
Roza
Sabteca
Sakia
Salah
Salma
Salome
Salu
Samlah
Samson
Samuel
Saph
Sapphira
Sarah
Sarai
Saraph
Sargon
Satan
Saul
Sceva
Seba
Semakiah
Semei
Senaah
Seraiah
Sergius
Seth
Sethur
Shadrach
Shallum
Shalmai
Shalman
Shama
Shamariah
Shamir
Shamma
Shammai
Shammua
Shapham
Shaphan
Sharai
Sharezer
Sharon
Shashai
Shashak
Sheal
Shealtiel
Sheariah
Sheba
Shebaniah
Sheber
Shebna
Shecaniah
Shechem
Sheerah
Shelemiah
Shelomi
Shelumiel
Shem
Shema
Shemaah
Shemaiah
Shemariah
Shemeber
Shemida
Shemuel
Shenazar
Shephi
Sherebiah
Sheshai
Sheva
Shiloh
Shiloni
Shimea
Shimeah
Shimeath
Shimei
Shimeon
Shimri
Shimrith
Shimron
Shiphrah
Shobai
Shobal
Shobi
Shomer
Shua
Shual
Sia
Silas
Simeon
Simon
Solomon
Stephanas
Stephen
Susanna
Susi
Syntyche
Samson
Samuel
Sebhat
Sebsebe
Seid
Seifu
Selam
Seyoum
Shewangizaw
Shifferaw
Shimelis
Sintayehu
Siraj
Sisay
Sofonyas
Solomon
Surafel
Salem
Samrawit
Sara
Saron
Seble
Seble-Wongel
Sefanit
Selam
Selamawit
Semira
Senait
Senedu
Serkadis
Serkalem
Siham
Sinetebeb
Sitota
Tabaliah
Tabeal
Tabitha
Tahash
Tahpenes
Talmai
Talmon
Tamah
Tamar
Tarea
Tarshish
Telah
Tema
Teman
Temeni
Teresh
Thaddeus
Theophilus
Thomas
Tilon
Timon
Timothy
Tiras
Tirzah
Titus
Tobiah
Tobijah
Tryphena
Tryphosa
Tubal
Tadele
Tadesse
Tamene
Tamrat
Tarekegn
Tarik
Tariku
Taye
Tedla
Tefera
Teferri
Tekeste
Temesgen
Tesema
Tesfaye
Teshome
Theodros
Thomas
Tibebu
Tilahun
Tsegaye
Taitu
Tenagne
Tersit
Tewabech
Thut
Tigist
Tinbit
Tirunesh
Tiruwork
Tizita
Tsedenia
Tsedey
Tsega
Tsehay
Tsion
Uri
Uriah
Uriel
Uzzi
Uzziah
Uzziel
Vaniah
Vashni
Vashti
Xerxes
Zabbai
Zabdi
Zabdiel
Zachariah
Zalmon
Zavan
Zaza
Zebadiah
Zebah
Zebedee
Zebidah
Zebina
Zebulon
Zechariah
Zedekiah
Zemira
Zenas
Zephaniah
Zerah
Zerahiah
Zeresh
Zeri
Zeruiah
Zethan
Zia
Zibia
Zibiah
Zillah
Zilpah
Zina
Zippora
Zuriel
Zurishaddai
